no,expected_raw,expected_fixed,category,handler,applied_to_scoring,evidence_kind,evidence
47,경기도 김포시 월곶면 성동리263-8,경기도 김포시 월곶면 성동리 263-8,A,rule,0,grammar,법정동 접미사 '리' 와 번지 '2…' 사이 공백 누락. 지번 표기는 법정동명과 번지를 분리한다. 규칙 A 가 기대값·출력 양쪽에 대칭 적용.
48,경기도 김포시 대곶면 대능리622-25,경기도 김포시 대곶면 대능리 622-25,A,rule,0,grammar,법정동 접미사 '리' 와 번지 '6…' 사이 공백 누락. 지번 표기는 법정동명과 번지를 분리한다. 규칙 A 가 기대값·출력 양쪽에 대칭 적용.
85,경기도 연천군 군남면 남계리133-1,경기도 연천군 군남면 남계리 133-1,A,rule,0,grammar,법정동 접미사 '리' 와 번지 '1…' 사이 공백 누락. 지번 표기는 법정동명과 번지를 분리한다. 규칙 A 가 기대값·출력 양쪽에 대칭 적용.
113,경기도 파주시 탄현면 법흥리1684-1,경기도 파주시 탄현면 법흥리 1684-1,A,rule,0,grammar,법정동 접미사 '리' 와 번지 '1…' 사이 공백 누락. 지번 표기는 법정동명과 번지를 분리한다. 규칙 A 가 기대값·출력 양쪽에 대칭 적용.
114,경기도 파주시 탄현면 법흥리1675-11,경기도 파주시 탄현면 법흥리 1675-11,A,rule,0,grammar,법정동 접미사 '리' 와 번지 '1…' 사이 공백 누락. 지번 표기는 법정동명과 번지를 분리한다. 규칙 A 가 기대값·출력 양쪽에 대칭 적용.
115,경기도 파주시 탄현면 법흥리1675-11,경기도 파주시 탄현면 법흥리 1675-11,A,rule,0,grammar,법정동 접미사 '리' 와 번지 '1…' 사이 공백 누락. 지번 표기는 법정동명과 번지를 분리한다. 규칙 A 가 기대값·출력 양쪽에 대칭 적용.
116,경기도 파주시 탄현면 법흥리1675-11,경기도 파주시 탄현면 법흥리 1675-11,A,rule,0,grammar,법정동 접미사 '리' 와 번지 '1…' 사이 공백 누락. 지번 표기는 법정동명과 번지를 분리한다. 규칙 A 가 기대값·출력 양쪽에 대칭 적용.
119,경기도 파주시 하지석동 산54-1,경기도 파주시 하지석동 산54-1,C-1,rule,0,grammar,'산' 접두와 번지 사이 공백 유무 차이(기대 '산54-1' / 출력 '54-1' 앞 '산'). 산 토큰은 양쪽에 보존되고 공백만 통일된다. 역지오 하네스는 이미 동일 정규화를 수행하고 있었다. 규칙 C-1 이 대칭 적용(정규형이 원문과 동일).
121,경기도 평택시 팽성읍 안정리183-13,경기도 평택시 팽성읍 안정리 183-13,A,rule,0,grammar,법정동 접미사 '리' 와 번지 '1…' 사이 공백 누락. 지번 표기는 법정동명과 번지를 분리한다. 규칙 A 가 기대값·출력 양쪽에 대칭 적용.
145,경상북도 구미시 고아읍 괴평리1112-232,경상북도 구미시 고아읍 괴평리 1112-232,A,rule,0,grammar,법정동 접미사 '리' 와 번지 '1…' 사이 공백 누락. 지번 표기는 법정동명과 번지를 분리한다. 규칙 A 가 기대값·출력 양쪽에 대칭 적용.
